Row,Defect,Drilling_Stress,Milling_Stress,Assembly_Stress,Max_Stress,Most_Abnormal_Zone,Zone_Status,Likely_Zone,Zone_Confidence,Drilling_Probability,Milling_Probability,Assembly_Probability,Evidence
1517,Crack,0.2672305258729553,0.3261628004969379,0.7882802625406162,0.7882802625406162,Assembly,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1518,Crack,1.3468965069276666,0.6234749094168338,0.9159871105069676,1.3468965069276666,Drilling,Drilling,Drilling,Medium,0.5284120253334401,0.12816359737483346,0.34342437729172637,Drilling stress = 1.35; Assembly stress = 0.92
1519,Crack,1.2026029825348463,1.3506508220801885,0.8931533315618307,1.3506508220801885,Milling,Milling,Drilling,Medium,0.4322203121104192,0.250594501021271,0.31718518686830977,Drilling stress = 1.20; Assembly stress = 0.89
1520,Crack,1.3302734276491883,0.6662359597478225,0.9180680497843664,1.3302734276491883,Drilling,Drilling,Drilling,Medium,0.5209492856096928,0.13408421169860835,0.34496650269169893,Drilling stress = 1.33; Assembly stress = 0.92
1521,Crack,0.426489639716103,0.4022196502255983,0.4472761575778985,0.4472761575778985,Assembly,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1522,Crack,1.4311159377503602,0.6001214679710258,0.9131762565333644,1.4311159377503602,Drilling,Drilling,Drilling,High,0.5514032913237281,0.12010001059014551,0.32849669808612636,Drilling stress = 1.43; Assembly stress = 0.91
1523,Crack,1.3243643557012168,1.2300832808749118,1.6599737673510178,1.6599737673510178,Assembly,Assembly,Assembly,Medium,0.35040923849402517,0.15944092363684492,0.49014983786912986,Assembly stress = 1.66; Drilling stress = 1.32
1524,Crack,1.3370132571454263,0.6118442631838859,0.9202129687531276,1.3370132571454263,Drilling,Drilling,Drilling,Medium,0.5259631419314746,0.12734691332326228,0.34668994474526305,Drilling stress = 1.34; Assembly stress = 0.92
1525,Crack,0.2786723906241053,0.2600478634473627,0.7442684255917746,0.7442684255917746,Assembly,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1526,Crack,0.2466137810776337,0.3843863505107567,0.3775182187581239,0.3843863505107567,Milling,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1527,Crack,0.397314349919962,0.6475257479796381,0.8572174697623451,0.8572174697623451,Assembly,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1528,Crack,1.403823025572093,1.922360470806613,0.908373085355083,1.922360470806613,Milling,Milling,Drilling,Low,0.4083163600005608,0.3428978298980052,0.24878581010143413,Drilling stress = 1.40; Milling stress = 1.92
1529,Crack,1.038499492484696,0.9534525906809168,1.1575528389120509,1.1575528389120509,Assembly,Assembly,Assembly,Low,0.38674776146608325,0.17760795460689227,0.4356442839270245,Assembly stress = 1.16; Drilling stress = 1.04
1530,Crack,0.7451656242984088,0.5289911368194506,0.8942214757078533,0.8942214757078533,Assembly,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1531,Crack,1.114851123735242,1.0248484894728156,1.3013451727222245,1.3013451727222245,Assembly,Assembly,Assembly,Low,0.37565996319970907,0.17166322550644744,0.4526768112938436,Assembly stress = 1.30; Drilling stress = 1.11
1532,Crack,0.581425549402836,0.506172667189857,0.8795754680152922,0.8795754680152922,Assembly,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1533,Crack,1.2424934418398594,1.1460710393306124,1.5226650913214372,1.5226650913214372,Assembly,Assembly,Assembly,Medium,0.36004933920714244,0.163476866714656,0.47647379407820156,Assembly stress = 1.52; Drilling stress = 1.24
1534,Crack,1.42347416614509,1.0115024824611043,0.9125085080627386,1.42347416614509,Drilling,Drilling,Drilling,High,0.5178429250953415,0.17149482626918536,0.3106622486354732,Drilling stress = 1.42; Assembly stress = 0.91
1535,Crack,0.9535430664407925,0.8016911245822124,0.8712232729175025,0.9535430664407925,Drilling,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1536,Crack,0.5018054547158292,0.4718142434094751,0.3248650968273451,0.5018054547158292,Drilling,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1537,Crack,1.116611791895633,1.0259137444297717,1.2971648720068296,1.2971648720068296,Assembly,Assembly,Assembly,Low,0.37671502950238883,0.1720256826981777,0.4512592877994335,Assembly stress = 1.30; Drilling stress = 1.12
1538,Crack,1.0701161731201243,0.7503923783647558,0.9129330804907094,1.0701161731201243,Drilling,Drilling,Drilling,Low,0.45091306316331015,0.16376026850901138,0.3853266683276786,Drilling stress = 1.07; Assembly stress = 0.91
1539,Crack,1.5144015871750414,0.6490606403766888,0.918792213696658,1.5144015871750414,Drilling,Drilling,Drilling,High,0.5676397959974314,0.11946207156385623,0.31289813243871245,Drilling stress = 1.51; Assembly stress = 0.92
1540,Crack,0.7194133071696698,0.4380334428370868,0.6195161954287842,0.7194133071696698,Drilling,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1541,Crack,1.3246527656207745,1.2283208468607612,1.658944471444347,1.658944471444347,Assembly,Assembly,Assembly,Medium,0.35075020323217804,0.1592690959574571,0.4899807008103647,Assembly stress = 1.66; Drilling stress = 1.32
1542,Crack,0.2472337663654849,0.2526712265974979,0.705935393466542,0.705935393466542,Assembly,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1543,Crack,0.8636959993443347,0.8134300229547331,0.8545307087512725,0.8636959993443347,Drilling,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
