Demand,Entities In Part 1,Part 1 VA Time,Drilling Queue Time,Part 1 Storage Time,Part 1 Stored,Entities In Part 2,Part 2 VA Time,Milling Queue Time,Part 2 Storage Time,Part 2 Stored,Entities Out,Assembly Time,Assembly Queue Time,Drilling Utilization,Milling Utilization,Assembly Utilization,WIP_Stored,Drilling_Util_Pct,Milling_Util_Pct,Assembly_Util_Pct,Drilling_Score,Milling_Score,Assembly_Score,Bottleneck_Zone,Bottleneck_Score,Throughput_Gap,Throughput_Loss_Percent
10,7330,2.992263,0.466412,74.588845,349,7020,2.998653,0.079085,0.984397,39,6981,3.001409,1.186257,0.507071,0.365073,0.728288,388.0,50.707100000000004,36.5073,72.8288,0.5136387535484037,0.38875658951998543,1.13172998172933,Assembly,1.13172998172933,349,4.761255115961801
14,9506,2.998735,1.190732,21.952299,327,9478,3.002638,0.254215,19.671267,299,9179,3.0076,2.643543,0.658039,0.491224,0.959578,626.0,65.8039,49.1224,95.9578,0.6748062236524743,0.5673537807400025,1.8586380069855846,Assembly,1.8586380069855846,327,3.439932674100568
11,13176,2.997239,8.738693,204.521588,3668,13032,2.997688,1.088821,175.26406,3524,9508,2.995796,2.892999,0.912024,0.677493,0.990144,7192.0,91.2024,67.7493,99.01440000000001,1.035077399053113,1.0035622877883297,1.9740431463915242,Assembly,1.9740431463915242,3668,27.838494231936856
12,3485,2.996851,0.002952,12.019497,63,3435,2.990044,0.000252,1.74642,13,3422,3.001756,0.027429,0.241425,0.178174,0.35702,76.0,24.1425,17.8174,35.702,0.2414665684169251,0.178249466454562,0.36634850985650985,Assembly,0.36634850985650985,63,1.8077474892395984
10,6900,2.995173,0.200969,5.832655,167,6790,3.002558,0.041035,15.241741,57,6733,2.997173,0.764339,0.477001,0.352946,0.701784,224.0,47.7001,35.294599999999996,70.1784,0.4798309333269066,0.36523475382123793,0.9617331011416703,Assembly,0.9617331011416703,167,2.420289855072464
20,4844,2.999518,0.0288,1.191378,7,5096,3.012682,0.000921,26.588311,259,4837,3.002151,0.184138,0.336217,0.266073,0.504215,266.0,33.6217,26.607300000000002,50.421499999999995,0.3366225455309769,0.2663488119232207,0.5668397091748882,Assembly,0.5668397091748882,7,0.1445086705202312
11,8217,2.998094,0.344917,47.249915,682,7557,2.99765,0.057913,0.811878,22,7535,3.004609,1.199074,0.569578,0.393028,0.786632,704.0,56.957800000000006,39.3028,78.6632,0.5744349287468049,0.4103712094565457,1.1944329999520464,Assembly,1.1944329999520464,682,8.299866131191433
8,5792,3.000072,0.06287,2.438532,13,5912,2.999939,0.012733,10.897977,133,5779,2.994391,0.336768,0.402232,0.306993,0.601666,146.0,40.2232,30.6993,60.1666,0.40311730026154585,0.3108061522457859,0.7161996544298774,Assembly,0.7161996544298774,13,0.2244475138121547
8,5760,3.006802,0.078851,62.154239,104,5688,2.993309,0.022727,0.467822,32,5656,2.99728,0.517276,0.400801,0.295312,0.589401,136.0,40.0801,29.531200000000002,58.940099999999994,0.40191133578691196,0.3021180560032966,0.7653248129182975,Assembly,0.7653248129182975,104,1.8055555555555554
13,8520,2.998118,0.437982,16.818081,139,8424,2.998322,0.117239,7.273499,43,8381,3.002683,1.934706,0.59088,0.438505,0.874925,182.0,59.087999999999994,43.8505,87.49249999999999,0.5970474181509844,0.4736145701047426,1.532911947772384,Assembly,1.532911947772384,139,1.631455399061033
18,2744,2.997469,0.0,9.804609,36,2712,3.001223,0.0,18.078889,4,2708,3.014039,0.001766,0.190395,0.141308,0.283842,40.0,19.0395,14.130799999999999,28.3842,0.190395,0.141308,0.2844426106094497,Assembly,0.2844426106094497,36,1.3119533527696794
13,9230,3.001273,0.647691,4.707358,103,9711,3.001745,0.231343,44.911859,584,9127,2.997344,2.265773,0.63841,0.505375,0.951013,687.0,63.841,50.5375,95.1013,0.6475304232813889,0.574655301578327,1.7215947114409518,Assembly,1.7215947114409518,103,1.1159263271939328
9,6453,3.002477,0.135092,7.592586,67,6507,2.998844,0.023079,6.009931,121,6386,2.985843,0.528024,0.447037,0.338599,0.663391,188.0,44.703700000000005,33.859899999999996,66.3391,0.448939290169123,0.3455104694636371,0.842970171259388,Assembly,0.842970171259388,67,1.0382767704943436
17,12172,3.002086,3.454343,133.298548,2669,12036,2.993005,0.75917,131.352821,2533,9503,3.005701,2.899589,0.841831,0.625413,0.992887,5202.0,84.1831,62.5413,99.28869999999999,0.8904731307677621,0.852761683769202,1.9790273830372056,Assembly,1.9790273830372056,2669,21.92737430167598
8,5448,2.999092,0.060044,2.060048,37,5688,2.992352,0.016003,14.678755,277,5411,3.004534,0.331416,0.377188,0.295221,0.565438,314.0,37.7188,29.522100000000002,56.5438,0.3780335061063188,0.30001341933474523,0.6781514573847047,Assembly,0.6781514573847047,37,0.6791483113069016
